id,text,date,type,community_label
tweet_1983697541138100347,"New update to https://t.co/YAgrmtbCLs: blog posts that randomly shuffle so I can get a feel for which ones get the most clicks from the home page.

Then I track the clicks/display on Fathom and get the best performers up front and center. https://t.co/2alqqDaD1P",2025-10-30 00:48:43,tweet,0
tweet_1983697785179484215,"No CMS set up for the site yet. Decided to run it simply with a template in the repo and Cursor.

Will evaluate how annoying it is vs setting up a ghost/sanity/something else alongside a basic page that deploys with github pages",2025-10-30 00:49:41,tweet,1
tweet_1983733371785416729,@JayVander_ I type way faster than I can speak. I have no idea how people move that slowly.,2025-10-30 03:11:06,tweet,2
tweet_1983868908299022831,"Iâ€™m slowly starting to figure out how to feel them in my body again. 

Iâ€™ve numbed a lot because I had to.",2025-10-30 12:09:40,tweet,3
tweet_1983887190619758822,Looks like Iâ€™ll be writing about competition and Harvard today based on the news drops.,2025-10-30 13:22:19,tweet,4
tweet_1983889854607061474,Good start. https://t.co/ImgPNSUxYA,2025-10-30 13:32:54,tweet,7
tweet_1983890008256999465,Greatness is a decision. https://t.co/5oHZvpjwBS,2025-10-30 13:33:31,tweet,6
tweet_1983890201954148675,https://t.co/O2OMZFZnEO,2025-10-30 13:34:17,tweet,7
tweet_1983893775224074677,"See the Harvard news and want to know what the root cause is?

Check it out here: https://t.co/efb4MA2ywm",2025-10-30 13:48:29,tweet,8
tweet_1983894984433471811,Just FYI. https://t.co/D5m2bracLa,2025-10-30 13:53:17,tweet,7
tweet_1983896100252569914,"@jpfraneto Here's a full blog on it, if you're curious: https://t.co/6xRZkRHSbW",2025-10-30 13:57:43,tweet,10
tweet_1983898823706735074,"Welcome to the Hypergame!

You feel lost because you don't know the scoring mechanism.

That's what I'm fixing. https://t.co/o1MZq9SVIG",2025-10-30 14:08:33,tweet,11
tweet_1983899048516976883,"@christophcsmith Actually, I decided to be a pro learner.

A Meta Athlete. Or ""Mathlete"". ðŸ˜Ž

https://t.co/w08TCZGWH6",2025-10-30 14:09:26,tweet,12
tweet_1983899764858220609,https://t.co/ckw6YQEJwu,2025-10-30 14:12:17,tweet,7
tweet_1983900367445221549,"@dagorenouf Glad to hear it. Congrats on everything. Love seeing the success you are having.

Well deserved!",2025-10-30 14:14:41,tweet,14
tweet_1983900603504800195,"@owlcyon Nope, I had an archive I downloaded that I've been playing with.

I created a data room for myself as I start conversations with investors and I'm running analyses on it.

https://t.co/CPuUJSQ3qe",2025-10-30 14:15:37,tweet,15
tweet_1983902307986129097,"The hypergames are breaking because the feedback cycles sped up.

Institutions lost their mandate and now the games don't make sense anymore. https://t.co/T1R6q2j7UC",2025-10-30 14:22:24,tweet,16
tweet_1983905032811454694,"Don't build unless you have to, because structure freezes learning.

CC: @DefenderOfBasic - this might help you understand why I haven't built more, and I'm focusing on the ideas first. https://t.co/DvxRvuriBl",2025-10-30 14:33:13,tweet,17
tweet_1983907024661574121,"I saw the headline an hour ago.

And I leveraged conscious speed to take advantage of it. 

Let's see what I produced in the last hour:",2025-10-30 14:41:08,tweet,18
tweet_1983907045989306806,"My DMs are open.

Let's help you showcase why you are better than the competition.

We'll measure it, so you know for sure.

Then, the competition really begins.",2025-10-30 14:41:13,tweet,19
tweet_1983907043724439871,"And right now, I'm working on our first sponsor metric, because I'm creating publicly visible metrics that collapse those metagame metrics around individual aspects of our startups in pod 1.

Want a metric you can use to align your team around, and one that you can claim?",2025-10-30 14:41:13,tweet,20
tweet_1983908439320346791,"@owlcyon It's already here.

I'm simply demoing it now for anyone who is paying attention.

https://t.co/vw8qebM0LP",2025-10-30 14:46:45,tweet,21
tweet_1983908727234179201,"@owlcyon I'm figuring out the best way to analyze everything, but I do have a factory repo here for anyone who wants to create their own: https://t.co/LCd4TSu9gQ",2025-10-30 14:47:54,tweet,21
tweet_1984001896772964626,"Huh, Thursdays are for manifestos, I guess.

Up to about 6 today.",2025-10-30 20:58:07,tweet,5
tweet_1984003344453791751,"Pretty cool when it turns out the local university is perfectly aligned with everything I'm doing.

Things might be a lot easier, suddenly.",2025-10-30 21:03:52,tweet,9
tweet_1984004880290431016,"@Mat_Sherman That's what universities are supposed to be, and can be again, if they choose to.

I'm working on that now.",2025-10-30 21:09:59,tweet,13
